device_type,mib_module,object_name,oid,kind,data_type,textual_convention,unit,unit_source,access,configurable,table_index,nsp_attribute_name,description
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesPortStormBitBurstMax,1.3.6.1.4.1.5468.100.14.1.1.54,scalar,unsigned32,,bytes,description text,read-only,no,no,qosCapabilitiesPortStormBitBurstMax,Maximum supported burst size in bytes for port storm policers using bit rate mode.
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesPortStormFrameRateMin,1.3.6.1.4.1.5468.100.14.1.1.55,scalar,unsigned32,,frames,description text,read-only,no,no,qosCapabilitiesPortStormFrameRateMin,Minimum supported frame rate in fps for port storm policers using frame rate mode.
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesPortStormFrameRateMax,1.3.6.1.4.1.5468.100.14.1.1.56,scalar,unsigned32,,frames,description text,read-only,no,no,qosCapabilitiesPortStormFrameRateMax,"Maximum supported frame rate in fps for port storm policers using frame rate mode. If zero, the port storm policers does not support frame rate mode."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesPortStormFrameBurstMin,1.3.6.1.4.1.5468.100.14.1.1.57,scalar,unsigned32,,frames,description text,read-only,no,no,qosCapabilitiesPortStormFrameBurstMin,Minimum supported burst size in frames for port storm policers using frame rate mode.
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesPortStormFrameBurstMax,1.3.6.1.4.1.5468.100.14.1.1.58,scalar,unsigned32,,frames,description text,read-only,no,no,qosCapabilitiesPortStormFrameBurstMax,Maximum supported burst size in frames for port storm policers using frame rate mode.
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesDwrrCountMask,1.3.6.1.4.1.5468.100.14.1.1.101,scalar,unsigned32,,,,read-only,no,no,qosCapabilitiesDwrrCountMask,A bitmask used to show allowed values of DwrrCount (zero is always allowed). Example: 00100000 (0x20): Allowed values are 0 and 6 11111110 (0xFE): All
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasGlobalStormPolicers,1.3.6.1.4.1.5468.100.14.1.1.201,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasGlobalStormPolicers,"If true, the platform supports global storm policers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasPortStormPolicers,1.3.6.1.4.1.5468.100.14.1.1.202,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasPortStormPolicers,"If true, the platform supports per port storm policers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasPortQueuePolicers,1.3.6.1.4.1.5468.100.14.1.1.203,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasPortQueuePolicers,"If true, the platform supports per port queue policers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasWredV1,1.3.6.1.4.1.5468.100.14.1.1.204,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasWredV1,"If true, the platform supports WRED version 1."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasWredV2,1.3.6.1.4.1.5468.100.14.1.1.205,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasWredV2,"If true, the platform supports WRED version 2."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasFixedTagCosMap,1.3.6.1.4.1.5468.100.14.1.1.206,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasFixedTagCosMap,"If true, the platform supports fixed tag to cos mapping only."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasTagClassification,1.3.6.1.4.1.5468.100.14.1.1.207,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasTagClassification,"If true, the platform supports using VLAN tag for classification."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasTagRemarking,1.3.6.1.4.1.5468.100.14.1.1.208,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasTagRemarking,"If true, the platform supports VLAN tag remarking."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasDscp,1.3.6.1.4.1.5468.100.14.1.1.209,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasDscp,"If true, the platform supports DSCP translation and remarking."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasDscpDplClassification,1.3.6.1.4.1.5468.100.14.1.1.210,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasDscpDplClassification,"If true, the platform supports DPL based DSCP classification."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasDscpDplRemarking,1.3.6.1.4.1.5468.100.14.1.1.211,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasDscpDplRemarking,"If true, the platform supports DPL based DSCP remarking."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasPortPolicersFc,1.3.6.1.4.1.5468.100.14.1.1.212,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasPortPolicersFc,"If true, the platform supports flow control in port policers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQueuePolicersFc,1.3.6.1.4.1.5468.100.14.1.1.213,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQueuePolicersFc,"If true, the platform supports flow control in queue policers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasPortShapersDlb,1.3.6.1.4.1.5468.100.14.1.1.214,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasPortShapersDlb,"If true, the platform supports dual leaky bucket egress port shapers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQueueShapersDlb,1.3.6.1.4.1.5468.100.14.1.1.215,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQueueShapersDlb,"If true, the platform supports dual leaky bucket egress queue shapers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQueueShapersExcess,1.3.6.1.4.1.5468.100.14.1.1.216,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQueueShapersExcess,"If true, the platform supports excess bandwidth in egress queue shapers."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasWredV3,1.3.6.1.4.1.5468.100.14.1.1.217,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasWredV3,"If true, the platform supports WRED version 3."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQce,1.3.6.1.4.1.5468.100.14.1.1.301,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQce,"If true, the platform supports QCEs."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceAddressMode,1.3.6.1.4.1.5468.100.14.1.1.302,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceAddressMode,"If true, the platform supports QCE address mode."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceKeyType,1.3.6.1.4.1.5468.100.14.1.1.303,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceKeyType,"If true, the platform supports QCE key type."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceMacOui,1.3.6.1.4.1.5468.100.14.1.1.304,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceMacOui,"If true, the platform supports QCE MAC OUI part only (24 most significant bits)."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceDmac,1.3.6.1.4.1.5468.100.14.1.1.305,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceDmac,"If true, the platform supports QCE destination MAC keys."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceDip,1.3.6.1.4.1.5468.100.14.1.1.306,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceDip,"If true, the platform supports QCE destination IP keys."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceCTag,1.3.6.1.4.1.5468.100.14.1.1.307,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceCTag,"If true, the platform supports QCE VLAN C-TAG keys."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceSTag,1.3.6.1.4.1.5468.100.14.1.1.308,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceSTag,"If true, the platform supports QCE VLAN S-TAG keys."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceInnerTag,1.3.6.1.4.1.5468.100.14.1.1.309,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceInnerTag,"If true, the platform supports QCE inner VLAN tag keys."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceActionPcpDei,1.3.6.1.4.1.5468.100.14.1.1.310,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceActionPcpDei,"If true, the platform supports QCE PCP and DEI actions."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasQceActionPolicy,1.3.6.1.4.1.5468.100.14.1.1.311,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasQceActionPolicy,"If true, the platform supports QCE policy actions."
switch,ML540M-QOS-MIB,ml540mQosCapabilitiesHasShapersRt,1.3.6.1.4.1.5468.100.14.1.1.312,scalar,boolean,TruthValue,,,read-only,no,no,qosCapabilitiesHasShapersRt,"If true, the platform supports rate-type configurable egress shapers."
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersUnicastEnable,1.3.6.1.4.1.5468.100.14.1.2.1.1.1.1,scalar,boolean,TruthValue,,,read-write,yes,no,qosConfigGlobalsStormPolicersUnicastEnable,"If true, the storm policer is enabled. This object is only valid if QosCapabilitiesHasGlobalStormPolicers is true."
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersUnicastRate,1.3.6.1.4.1.5468.100.14.1.2.1.1.1.2,scalar,unsigned32,,,,read-write,yes,no,qosConfigGlobalsStormPolicersUnicastRate,Configure the storm policer rate. Valid range is from the smallest value of QosCapabilitiesGlobalStormBitRateMin and QosCapabilitiesGlobalStormFrameRa
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersUnicastFrameRate,1.3.6.1.4.1.5468.100.14.1.2.1.1.1.3,scalar,boolean,TruthValue,kbps,description text,read-write,yes,no,qosConfigGlobalsStormPolicersUnicastFrameRate,"If true, the rate is measured in fps instead of kbps. fps (FrameRate == TRUE) is only valid if QosCapabilitiesGlobalStormFrameRateMax is non-zero. kbp"
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersMulticastEnable,1.3.6.1.4.1.5468.100.14.1.2.1.1.2.1,scalar,boolean,TruthValue,,,read-write,yes,no,qosConfigGlobalsStormPolicersMulticastEnable,"If true, the storm policer is enabled. This object is only valid if QosCapabilitiesHasGlobalStormPolicers is true."
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersMulticastRate,1.3.6.1.4.1.5468.100.14.1.2.1.1.2.2,scalar,unsigned32,,,,read-write,yes,no,qosConfigGlobalsStormPolicersMulticastRate,Configure the storm policer rate. Valid range is from the smallest value of QosCapabilitiesGlobalStormBitRateMin and QosCapabilitiesGlobalStormFrameRa
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersMulticastFrameRate,1.3.6.1.4.1.5468.100.14.1.2.1.1.2.3,scalar,boolean,TruthValue,kbps,description text,read-write,yes,no,qosConfigGlobalsStormPolicersMulticastFrameRate,"If true, the rate is measured in fps instead of kbps. fps (FrameRate == TRUE) is only valid if QosCapabilitiesGlobalStormFrameRateMax is non-zero. kbp"
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersBroadcastEnable,1.3.6.1.4.1.5468.100.14.1.2.1.1.3.1,scalar,boolean,TruthValue,,,read-write,yes,no,qosConfigGlobalsStormPolicersBroadcastEnable,"If true, the storm policer is enabled. This object is only valid if QosCapabilitiesHasGlobalStormPolicers is true."
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersBroadcastRate,1.3.6.1.4.1.5468.100.14.1.2.1.1.3.2,scalar,unsigned32,,,,read-write,yes,no,qosConfigGlobalsStormPolicersBroadcastRate,Configure the storm policer rate. Valid range is from the smallest value of QosCapabilitiesGlobalStormBitRateMin and QosCapabilitiesGlobalStormFrameRa
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsStormPolicersBroadcastFrameRate,1.3.6.1.4.1.5468.100.14.1.2.1.1.3.3,scalar,boolean,TruthValue,kbps,description text,read-write,yes,no,qosConfigGlobalsStormPolicersBroadcastFrameRate,"If true, the rate is measured in fps instead of kbps. fps (FrameRate == TRUE) is only valid if QosCapabilitiesGlobalStormFrameRateMax is non-zero. kbp"
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredGroup,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.1,column,integer,,,,not-accessible,no,yes,qosConfigGlobalsWredGroup,WRED group index.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredQueue,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.2,column,integer,,,,not-accessible,no,yes,qosConfigGlobalsWredQueue,Queue index.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredDpl,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.3,column,integer,,,,not-accessible,no,yes,qosConfigGlobalsWredDpl,DPL index.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredEnable,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.4,column,boolean,TruthValue,,,read-write,yes,no,qosConfigGlobalsWredEnable,"If true, RED is enabled for this queue."
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredMinimumFillLevel,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.5,column,textual-convention,VTSSPercent,percent,textual convention VTSSPercent,read-write,yes,no,qosConfigGlobalsWredMinimumFillLevel,"Controls the lower RED fill level threshold in percent of the whole queue. If the queue filling level is below this threshold, the drop probability is"
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredMaximum,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.6,column,textual-convention,VTSSPercent,percent,textual convention VTSSPercent,read-write,yes,no,qosConfigGlobalsWredMaximum,Controls the upper RED drop probability or fill level threshold for frames marked with Drop Precedence Level 1 (yellow frames). Valid range is 1-100.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredMaxSelector,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.7,column,textual-convention,VTSSQosWredMaxSelector,,,read-write,yes,no,qosConfigGlobalsWredMaxSelector,Selects whether 'Maximum' controls 'Maximum Drop Probability' or 'Maximum Fill Level'. This object is only valid if QosCapabilitiesHasWredV2 or QosCap
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredMaximumDp1,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.8,column,textual-convention,VTSSPercent,percent,textual convention VTSSPercent,read-write,yes,no,qosConfigGlobalsWredMaximumDp1,Controls the upper RED drop probability for frames marked with Drop Precedence Level 1 (yellow frames). Valid range is 0-100. This object is only vali
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredMaximumDp2,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.9,column,textual-convention,VTSSPercent,percent,textual convention VTSSPercent,read-write,yes,no,qosConfigGlobalsWredMaximumDp2,Controls the upper RED drop probability for frames marked with Drop Precedence Level 2 (yellow frames). Valid range is 0-100. This object is only vali
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsWredMaximumDp3,1.3.6.1.4.1.5468.100.14.1.2.1.2.1.10,column,textual-convention,VTSSPercent,percent,textual convention VTSSPercent,read-write,yes,no,qosConfigGlobalsWredMaximumDp3,Controls the upper RED drop probability for frames marked with Drop Precedence Level 3 (yellow frames). Valid range is 0-100. This object is only vali
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpDscp,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.1,column,textual-convention,Dscp,,,not-accessible,no,yes,qosConfigGlobalsDscpDscp,DSCP index.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpTrust,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.2,column,boolean,TruthValue,packets,description text,read-write,yes,no,qosConfigGlobalsDscpTrust,"If true, this DSCP value is trusted. Packets arriving on interfaces where 'TrustDscp' is enabled will be classified to the corresponding CoS and DPL i"
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpCos,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.3,column,unsigned32,,,,read-write,yes,no,qosConfigGlobalsDscpCos,The CoS value which the DSCP value maps to. Valid range is qosCapabilitiesClassMin-qosCapabilitiesClassMax.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpDpl,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.4,column,textual-convention,VTSSUnsigned8,,,read-write,yes,no,qosConfigGlobalsDscpDpl,The DPL (Drop Precedence Level) which the DSCP value maps to. Valid range is qosCapabilitiesDplMin-qosCapabilitiesDplMax.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpIngressTranslation,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.5,column,textual-convention,Dscp,,,read-write,yes,no,qosConfigGlobalsDscpIngressTranslation,The new classified DSCP value which the original DSCP value is replaced with if 'DscpTranslate' is enabled on the interface
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpClassify,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.6,column,boolean,TruthValue,packets,description text,read-write,yes,no,qosConfigGlobalsDscpClassify,"If true, then packets received on interfaces where 'DscpClassify' is set to 'selected' will be classified to a new DSCP value based on the values conf"
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpEgressTranslation,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.7,column,textual-convention,Dscp,packets,description text,read-write,yes,no,qosConfigGlobalsDscpEgressTranslation,The new DSCP value that will be written into the packet at egress if 'DscpRemark' on the interface is set to 'remap' or 'remap-dp'. If 'remap-dp' is s
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsDscpEgressTranslationDp1,1.3.6.1.4.1.5468.100.14.1.2.1.3.1.8,column,textual-convention,Dscp,packets,description text,read-write,yes,no,qosConfigGlobalsDscpEgressTranslationDp1,The new DSCP value that will be written into the packet at egress if 'DscpRemark' on the interface is set to 'remap-dp'. Only packets classified to Dp
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsCosToDscpCos,1.3.6.1.4.1.5468.100.14.1.2.1.4.1.1,column,integer,,,,not-accessible,no,yes,qosConfigGlobalsCosToDscpCos,CoS index.
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsCosToDscpDscp,1.3.6.1.4.1.5468.100.14.1.2.1.4.1.2,column,textual-convention,Dscp,,,read-write,yes,no,qosConfigGlobalsCosToDscpDscp,If qosCapabilitiesHasDscpDplClassification is true: This is the DSCP value which the classified CoS value maps to when the classified DPL is 0. If qos
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsCosToDscpDscpDp1,1.3.6.1.4.1.5468.100.14.1.2.1.4.1.3,column,textual-convention,Dscp,,,read-write,yes,no,qosConfigGlobalsCosToDscpDscpDp1,The DSCP value which the classified CoS value maps to when the classified DPL is 1. This object is only valid if QosCapabilitiesHasDscpDplClassificati
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsCosToDscpDscpDp2,1.3.6.1.4.1.5468.100.14.1.2.1.4.1.4,column,textual-convention,Dscp,,,read-write,yes,no,qosConfigGlobalsCosToDscpDscpDp2,The DSCP value which the classified CoS value maps to when the classified DPL is 2. This object is only valid if QosCapabilitiesHasDscpDplClassificati
switch,ML540M-QOS-MIB,ml540mQosConfigGlobalsCosToDscpDscpDp3,1.3.6.1.4.1.5468.100.14.1.2.1.4.1.5,column,textual-convention,Dscp,,,read-write,yes,no,qosConfigGlobalsCosToDscpDscpDp3,The DSCP value which the classified CoS value maps to when the classified DPL is 3. This object is only valid if QosCapabilitiesHasDscpDplClassificati
switch,ML540M-QOS-MIB,ml540mQosConfigInterfaceIfIndex,1.3.6.1.4.1.5468.100.14.1.2.2.1.1.1,column,textual-convention,VTSSInterfaceIndex,,,not-accessible,no,yes,qosConfigInterfaceIfIndex,Logical interface index.
switch,ML540M-QOS-MIB,ml540mQosConfigInterfaceCos,1.3.6.1.4.1.5468.100.14.1.2.2.1.1.2,column,unsigned32,,packets,description text,read-write,yes,no,qosConfigInterfaceCos,The default CoS value a packet is classified to. Valid range is qosCapabilitiesClassMin-qosCapabilitiesClassMax.
switch,ML540M-QOS-MIB,ml540mQosConfigInterfaceDpl,1.3.6.1.4.1.5468.100.14.1.2.2.1.1.3,column,textual-convention,VTSSUnsigned8,packets,description text,read-write,yes,no,qosConfigInterfaceDpl,The default DPL (Drop Precedence Level) a packet is classified to. Valid range is qosCapabilitiesDplMin-qosCapabilitiesDplMax.
